longitude,latitude
113.730507,34.759165
113.723977,34.756541
113.723794,34.746957
116.460678,39.968523
113.701098,34.752445
113.648425,34.746211
113.637975,34.750697
116.081257,39.717468
113.646495,34.751661
115.958677,39.982045
116.614034,39.892538
113.75802,34.356265
113.669781,34.760403
113.63138,34.697872
113.665955,34.68493
116.260059,40.289168
113.664694,34.762433
113.776386,34.400873
113.686581,34.71656
113.684361,34.719505
113.679686,34.724747
113.697343,34.829518
113.710401,34.83952
113.741564,34.844005
112.210409,25.909826
113.676313,34.833106
116.149655,40.088885
113.642813,34.739414
116.683345,39.947238
113.605895,34.744901
113.732413,34.779232
